,0
TCGA-E9-A1N3-01A,4
TCGA-BH-A0B6-01A,1
TCGA-E9-A5FL-01A,3
TCGA-C8-A26Y-01A,3
TCGA-AO-A0JB-01A,2
TCGA-EW-A1OZ-01A,3
TCGA-AN-A0XR-01A,4
TCGA-B6-A409-01A,1
TCGA-AR-A0U3-01A,4
TCGA-D8-A1XA-01A,0
TCGA-AC-A5XS-01A,2
TCGA-EW-A1P3-01A,4
TCGA-OL-A66H-01A,2
TCGA-A2-A3XU-01A,2
TCGA-BH-A8FZ-01A,4
TCGA-BH-A0HB-01A,4
TCGA-D8-A1X8-01A,0
TCGA-AC-A8OP-01A,1
TCGA-EW-A6S9-01A,2
TCGA-BH-A204-01A,4
TCGA-AR-A0TP-01A,2
TCGA-AR-A5QP-01A,2
TCGA-AQ-A7U7-01A,0
TCGA-EW-A1J6-01A,0
TCGA-AC-A3OD-01A,3
TCGA-AQ-A1H3-01A,0
TCGA-B6-A0WW-01A,4
TCGA-A2-A0YC-01A,4
TCGA-AQ-A0Y5-01A,4
TCGA-3C-AALK-01A,4
TCGA-AR-A2LL-01A,2
TCGA-EW-A1P7-01A,0
TCGA-AC-A3W7-01A,0
TCGA-OL-A5RX-01A,4
TCGA-A2-A0CR-01A,4
TCGA-C8-A26V-01A,2
TCGA-LD-A74U-01A,0
TCGA-A1-A0SI-01A,0
TCGA-AR-A2LK-01A,0
TCGA-OL-A6VR-01A,4
TCGA-OL-A5DA-01A,2
TCGA-E2-A1LG-01A,3
TCGA-BH-A1FL-01A,4
TCGA-BH-A0B3-01A,0
TCGA-D8-A1XL-01A,3
TCGA-E2-A1IU-01A,2
TCGA-E2-A1IE-01A,0
TCGA-BH-A0AU-01A,1
TCGA-BH-A6R8-01A,4
TCGA-AR-A1AL-01A,0
TCGA-BH-A0B9-01A,2
TCGA-AR-A2LR-01A,3
TCGA-3C-AAAU-01A,2
TCGA-AR-A1AI-01A,3
TCGA-D8-A73W-01A,0
TCGA-A1-A0SH-01A,4
TCGA-E2-A1IN-01A,1
TCGA-E2-A1LL-01A,3
TCGA-A2-A25C-01A,4
TCGA-5T-A9QA-01A,1
TCGA-D8-A1XF-01A,1
TCGA-AC-A23E-01A,1
TCGA-A7-A26I-01A,1
TCGA-AC-A3YI-01A,0
TCGA-AN-A0XO-01A,2
TCGA-A7-A26G-01A,0
TCGA-AC-A2FG-01A,4
TCGA-AR-A24W-01A,3
TCGA-GM-A2DF-01A,3
TCGA-E9-A1N8-01A,0
TCGA-A1-A0SB-01A,4
TCGA-D8-A27I-01A,0
TCGA-D8-A1JN-01A,4
TCGA-D8-A3Z6-01A,2
TCGA-AC-A8OS-01A,0
TCGA-E9-A245-01A,4
TCGA-AC-A2BK-01A,3
TCGA-GM-A2DC-01A,0
TCGA-D8-A1X7-01A,0
TCGA-AC-A5EH-01A,1
TCGA-C8-A1HJ-01A,3
TCGA-C8-A1HN-01A,1
TCGA-EW-A1PA-01A,2
TCGA-GM-A2DL-01A,2
TCGA-B6-A0RU-01A,4
TCGA-A2-A1G0-01A,4
TCGA-BH-A0BJ-01A,1
TCGA-V7-A7HQ-01A,2
TCGA-E2-A1IL-01A,2
TCGA-AR-A1AK-01A,4
TCGA-AR-A254-01A,1
TCGA-E2-A1L8-01A,2
TCGA-B6-A1KC-01B,3
TCGA-PL-A8LY-01A,2
TCGA-GM-A2DI-01A,2
TCGA-EW-A1PB-01A,0
TCGA-B6-A0RL-01A,4
