job_name,silhouette,n_samples,n_clusters,embeddings_file,clusters_file
MSNE_k_20_nw_200_emb_50_win_15_wl_20,0.019438303374318098,625,5,output_MSNE_k_20_nw_200_emb_50_win_15_wl_20_embeddings.csv,output_MSNE_k_20_nw_200_emb_50_win_15_wl_20_clusters.csv
MSNE_k_30_nw_50_emb_50_win_5_wl_40,0.019407719411986945,625,5,output_MSNE_k_30_nw_50_emb_50_win_5_wl_40_embeddings.csv,output_MSNE_k_30_nw_50_emb_50_win_5_wl_40_clusters.csv
MSNE_k_10_nw_200_emb_50_win_10_wl_20,0.019316197952654064,625,5,output_MSNE_k_10_nw_200_emb_50_win_10_wl_20_embeddings.csv,output_MSNE_k_10_nw_200_emb_50_win_10_wl_20_clusters.csv
MSNE_k_30_nw_50_emb_50_win_5_wl_30,0.019282732343279055,625,5,output_MSNE_k_30_nw_50_emb_50_win_5_wl_30_embeddings.csv,output_MSNE_k_30_nw_50_emb_50_win_5_wl_30_clusters.csv
MSNE_k_10_nw_200_emb_100_win_10_wl_20,0.019218045812856507,625,5,output_MSNE_k_10_nw_200_emb_100_win_10_wl_20_embeddings.csv,output_MSNE_k_10_nw_200_emb_100_win_10_wl_20_clusters.csv
MSNE_k_10_nw_50_emb_50_win_10_wl_30,0.01917863521617167,625,5,output_MSNE_k_10_nw_50_emb_50_win_10_wl_30_embeddings.csv,output_MSNE_k_10_nw_50_emb_50_win_10_wl_30_clusters.csv
MSNE_k_30_nw_50_emb_50_win_10_wl_40,0.019091888180403478,625,5,output_MSNE_k_30_nw_50_emb_50_win_10_wl_40_embeddings.csv,output_MSNE_k_30_nw_50_emb_50_win_10_wl_40_clusters.csv
MSNE_k_30_nw_50_emb_50_win_10_wl_30,0.01906480215385587,625,5,output_MSNE_k_30_nw_50_emb_50_win_10_wl_30_embeddings.csv,output_MSNE_k_30_nw_50_emb_50_win_10_wl_30_clusters.csv
MSNE_k_30_nw_100_emb_50_win_10_wl_30,0.01901149232816918,625,5,output_MSNE_k_30_nw_100_emb_50_win_10_wl_30_embeddings.csv,output_MSNE_k_30_nw_100_emb_50_win_10_wl_30_clusters.csv
MSNE_k_30_nw_100_emb_50_win_5_wl_20,0.018930074739517543,625,5,output_MSNE_k_30_nw_100_emb_50_win_5_wl_20_embeddings.csv,output_MSNE_k_30_nw_100_emb_50_win_5_wl_20_clusters.csv
MSNE_k_50_nw_50_emb_50_win_10_wl_20,0.01892796078655765,625,5,output_MSNE_k_50_nw_50_emb_50_win_10_wl_20_embeddings.csv,output_MSNE_k_50_nw_50_emb_50_win_10_wl_20_clusters.csv
MSNE_k_40_nw_200_emb_50_win_15_wl_20,0.01887467150673809,625,5,output_MSNE_k_40_nw_200_emb_50_win_15_wl_20_embeddings.csv,output_MSNE_k_40_nw_200_emb_50_win_15_wl_20_clusters.csv
MSNE_k_30_nw_50_emb_100_win_5_wl_20,0.01886610951557247,625,5,output_MSNE_k_30_nw_50_emb_100_win_5_wl_20_embeddings.csv,output_MSNE_k_30_nw_50_emb_100_win_5_wl_20_clusters.csv
MSNE_k_30_nw_100_emb_50_win_10_wl_20,0.01884821982242356,625,5,output_MSNE_k_30_nw_100_emb_50_win_10_wl_20_embeddings.csv,output_MSNE_k_30_nw_100_emb_50_win_10_wl_20_clusters.csv
MSNE_k_20_nw_100_emb_50_win_15_wl_20,0.01882158171517937,625,5,output_MSNE_k_20_nw_100_emb_50_win_15_wl_20_embeddings.csv,output_MSNE_k_20_nw_100_emb_50_win_15_wl_20_clusters.csv
MSNE_k_40_nw_100_emb_50_win_15_wl_30,0.01881926017755028,625,5,output_MSNE_k_40_nw_100_emb_50_win_15_wl_30_embeddings.csv,output_MSNE_k_40_nw_100_emb_50_win_15_wl_30_clusters.csv
