id	filename	md5	size	state
26fe7667-2972-4904-bf30-e12f9d8b6a33	26fe7667-2972-4904-bf30-e12f9d8b6a33/nationwidechildrens.org_clinical.TCGA-BH-A18L.xml	27f0ce24516f824657732e3137527567	36666	validated
28c78839-d25b-41b2-9c29-355adadc0ab8	28c78839-d25b-41b2-9c29-355adadc0ab8/nationwidechildrens.org_clinical.TCGA-A2-A04W.xml	82c0ed1aa311a49f933fe79c7f4fbe8e	101258	validated
2923b4df-3e8c-4030-a812-e516f351428e	2923b4df-3e8c-4030-a812-e516f351428e/nationwidechildrens.org_clinical.TCGA-BH-A0BR.xml	01719d053e6d20c08140dfa3ed2beec6	55718	validated
295e8f96-69d9-4f8c-96e2-600ab80389b2	295e8f96-69d9-4f8c-96e2-600ab80389b2/nationwidechildrens.org_clinical.TCGA-AN-A041.xml	5d02915d3647c0dbfc1f45748d107e76	50861	validated
298a46ec-bc4a-4496-9222-ec6a50af8035	298a46ec-bc4a-4496-9222-ec6a50af8035/nationwidechildrens.org_clinical.TCGA-E2-A1IL.xml	e2465ed80184173ab364d50779993fa9	62092	validated
2a00ed9b-f063-4644-9007-4516f873abc0	2a00ed9b-f063-4644-9007-4516f873abc0/nationwidechildrens.org_clinical.TCGA-A8-A0A7.xml	7c8e6b8c4c3cf760a73a0083fa0079f0	36338	validated
2a4f1d95-a0c7-4f92-a2ea-c3b8283cf16d	2a4f1d95-a0c7-4f92-a2ea-c3b8283cf16d/nationwidechildrens.org_clinical.TCGA-BH-A0EE.xml	3e80957549c86f43226ebc15381d7e52	90982	validated
2a5b5ade-746e-4a95-ade3-596a56f35ed8	2a5b5ade-746e-4a95-ade3-596a56f35ed8/nationwidechildrens.org_clinical.TCGA-BH-A0EA.xml	aa1ca33b41627e3f38cba151e0c1cf0e	62578	validated
2a679442-ab52-411e-8fa0-a100fb8a4913	2a679442-ab52-411e-8fa0-a100fb8a4913/nationwidechildrens.org_clinical.TCGA-A8-A082.xml	7e22b43d31a9cc7c1a4dab21907556b2	85440	validated
2ade91c3-a81c-4362-a7fa-5c2aeb22b476	2ade91c3-a81c-4362-a7fa-5c2aeb22b476/nationwidechildrens.org_omf.TCGA-A8-A06U.xml	ea0219b8946433d285d0329d3f673176	11048	validated
2b091208-b35c-4a3d-94ff-d5d01b8fcdcc	2b091208-b35c-4a3d-94ff-d5d01b8fcdcc/nationwidechildrens.org_clinical.TCGA-A8-A08S.xml	291e62ad1fa79bc9f78382da474ca7d0	61096	validated
2b09f2e9-68c4-4a64-90c9-d981e89c123d	2b09f2e9-68c4-4a64-90c9-d981e89c123d/nationwidechildrens.org_omf.TCGA-A8-A09K.xml	4c7b7bb6ef46423a54b25dc1e85c82b0	11048	validated
2b629c40-f8d7-4f1b-9b62-921a9d936807	2b629c40-f8d7-4f1b-9b62-921a9d936807/nationwidechildrens.org_clinical.TCGA-B6-A0I9.xml	b6c19b802c86f4277a9175ffcc6b1920	60455	validated
2bae8366-3b01-408c-a8c6-976df43a3a01	2bae8366-3b01-408c-a8c6-976df43a3a01/nationwidechildrens.org_clinical.TCGA-C8-A12L.xml	428e4a8d8fbf60da96638d9fc6c45cb4	60328	validated
2c2acb21-606f-4816-a2f7-e69508b4cf99	2c2acb21-606f-4816-a2f7-e69508b4cf99/nationwidechildrens.org_clinical.TCGA-E2-A14P.xml	609b7adbab44c14203b4bbf098f60825	62301	validated
2c8cfe81-1934-47c9-9fd6-24047b012b18	2c8cfe81-1934-47c9-9fd6-24047b012b18/nationwidechildrens.org_clinical.TCGA-C8-A12Z.xml	fafa10086365ad886c5a3dcaf64e21e2	68438	validated
2c95a170-c033-4a03-b01a-26d71be19a0f	2c95a170-c033-4a03-b01a-26d71be19a0f/nationwidechildrens.org_clinical.TCGA-A8-A09W.xml	70be7abbb047c51a274c5f2687378bf9	36257	validated
