package,recommended_version,all_versions
stringi,1.8.7,"1.8.4, 1.8.7"
stringr,1.5.1,1.5.1
survMisc,0.5.6,0.5.6
survey,4.4-2,4.4-2
survival,3.7-0,"3.5-8, 3.7-0"
survminer,0.4.9,0.4.9
sva,3.52.0,3.52.0
svd,0.5.5,0.5.5
svglite,2.1.3,2.1.3
systemfonts,1.1.0,1.1.0
tableone,0.13.2,0.13.2
textshaping,0.3.7,0.3.7
tibble,3.2.1,3.2.1
tidygraph,1.3.1,1.3.1
tidyr,1.3.1,1.3.1
tidyselect,1.2.1,1.2.1
tidytree,0.4.6,0.4.6
tinytex,0.53,0.53
tm,0.7-14,0.7-14
tools,4.4.2,"4.4.0, 4.4.2"
treeio,1.28.0,1.28.0
tweenr,2.0.3,2.0.3
umap,0.2.10.0,0.2.10.0
utf8,1.2.4,1.2.4
uuid,1.2-0,1.2-0
uwot,0.2.2,0.2.2
vctrs,0.6.5,0.6.5
vegan,2.6-6,2.6-6
viridis,0.6.5,0.6.5
viridisLite,0.4.2,0.4.2
wMKL,1.0.0,1.0.0
withr,3.0.2,"3.0.1, 3.0.2"
wordcloud,2.6,2.6
xfun,0.44,0.44
xml2,1.3.6,1.3.6
xtable,1.8-4,1.8-4
yaml,2.3.8,2.3.8
yulab.utils,0.1.6,0.1.6
zip,2.3.3,"2.3.1, 2.3.3"
zlibbioc,1.50.0,1.50.0
zoo,1.8-12,1.8-12
